               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10611,            0.022108,             0.05299,          0.00047916,             0.33333,          0.00099739,          0.00018233,             0.10489,            0.015971,            0.052183,              0.0007,              0.0007,              0.0937
                   1,            0.097413,            0.022497,            0.052698,            0.000566,             0.33333,           0.0010752,          0.00026285,            0.094133,            0.016882,            0.052057,            0.001495,            0.001495,            0.086495
                   2,             0.08734,            0.025121,            0.052676,          0.00035264,                 0.3,          0.00076574,           0.0001032,            0.087074,            0.017378,            0.051965,           0.0022848,           0.0022848,            0.079285
                   3,            0.082011,            0.024996,              0.0525,          0.00039081,             0.33333,          0.00061707,          8.0414e-05,            0.080258,            0.017898,            0.051874,           0.0030693,           0.0030693,            0.072069
                   4,            0.078145,            0.026363,            0.052334,          0.00038022,             0.33333,           0.0005738,          9.8898e-05,             0.07529,            0.018428,            0.051761,           0.0038485,           0.0038485,            0.064849
                   5,            0.076451,            0.026187,            0.052095,          0.00037879,             0.33333,          0.00062487,          8.5141e-05,            0.072383,            0.018816,            0.051589,           0.0046225,           0.0046225,            0.057622
                   6,            0.073396,            0.026419,            0.051865,          0.00038022,             0.33333,          0.00091431,          0.00015508,            0.070758,            0.019052,            0.051427,           0.0053911,           0.0053911,            0.050391
                   7,            0.072543,            0.024866,            0.051864,          0.00034025,                 0.3,           0.0025254,          0.00044196,            0.068454,            0.019417,            0.051281,           0.0061545,           0.0061545,            0.043154
                   8,            0.068429,            0.027811,            0.051611,            0.001022,                 0.4,           0.0035748,          0.00079323,             0.06452,            0.019992,             0.05116,           0.0069126,           0.0069126,            0.035913
                   9,            0.065856,            0.027221,            0.051391,           0.0010515,                 0.5,           0.0044342,          0.00099097,            0.060188,            0.020593,            0.051248,           0.0076654,           0.0076654,            0.028665
                  10,            0.066119,            0.028127,            0.050992,             0.51325,             0.33333,             0.11107,            0.024831,              0.0547,            0.020844,            0.051074,           0.0084129,           0.0084129,            0.021413
                  11,            0.067063,             0.02704,            0.050589,             0.85175,             0.16667,            0.038218,            0.007907,             0.05379,             0.02014,            0.050881,           0.0091552,           0.0091552,            0.014155
                  12,             0.06223,            0.026867,            0.051048,            0.078334,                 0.3,             0.20587,            0.034269,            0.051086,            0.019585,            0.049871,            0.009604,            0.009604,            0.009604
                  13,            0.061528,            0.028173,            0.050293,             0.85676,             0.16667,            0.038472,           0.0073446,            0.051456,            0.018383,            0.049046,            0.009604,            0.009604,            0.009604
                  14,            0.062356,            0.028451,            0.050496,               0.711,             0.23053,            0.050113,            0.008023,            0.049466,            0.017981,            0.048002,            0.009571,            0.009571,            0.009571
                  15,            0.058801,            0.024663,            0.050071,             0.47351,             0.33333,             0.20102,            0.037626,            0.050205,            0.017269,            0.046767,            0.009538,            0.009538,            0.009538
                  16,             0.05742,            0.028899,             0.04936,            0.071885,                 0.7,              0.2313,            0.059115,            0.045508,            0.017944,            0.045633,            0.009505,            0.009505,            0.009505
                  17,            0.054354,            0.025672,            0.049451,              0.8676,             0.15748,             0.20504,            0.065461,            0.045573,             0.01802,            0.045241,            0.009472,            0.009472,            0.009472
                  18,            0.055042,            0.028374,            0.048607,              0.9709,             0.15873,             0.28086,            0.066173,            0.048284,            0.018228,            0.044788,            0.009439,            0.009439,            0.009439
                  19,            0.059805,            0.024298,            0.047983,             0.27078,             0.66667,              0.2799,            0.087713,            0.046612,            0.020738,            0.044286,            0.009406,            0.009406,            0.009406
                  20,            0.052147,            0.025907,             0.04855,             0.94816,             0.16667,             0.21547,            0.067038,            0.053939,            0.021078,            0.044394,            0.009373,            0.009373,            0.009373
                  21,            0.048491,            0.026408,            0.047642,             0.95044,             0.16667,             0.30553,             0.10583,            0.051794,             0.02598,            0.042434,             0.00934,             0.00934,             0.00934
                  22,            0.052534,             0.02402,            0.047018,             0.87958,              0.3329,             0.45809,             0.11313,            0.045482,            0.021021,            0.040105,            0.009307,            0.009307,            0.009307
